"timestamp_iso","prueba_id","tipo_pista","contador","estado","posicion_qtr","error_qtr","correccion_pid","vel_izq_pwm","vel_der_pwm","vel_base_pwm","linea_perdida","s0_cal","s1_cal","s2_cal","s3_cal","c0_raw","c1_raw","c2_raw","c3_raw","ip_robot","rssi_dbm","uptime_ms","observaciones"
"2026-06-03T19:32:42.877Z","prueba_001","pista_linea_negra","115","centrado","1432","-68","-3965","-200","200","170","0","758","710","623","663","2250","1991","2060","2075","192.168.137.29","-49","59688",""
"2026-06-03T19:32:43.379Z","prueba_001","pista_linea_negra","116","desviado_izq","414","-1086","36753","200","-200","90","0","1000","323","142","18","3455","969","528","53","192.168.137.29","-53","60189",""
"2026-06-03T19:32:43.880Z","prueba_001","pista_linea_negra","117","desviado_izq","1064","-436","37525","200","-200","115","0","254","334","312","40","825","1008","1091","123","192.168.137.29","-61","60691",""
"2026-06-03T19:32:44.386Z","prueba_001","pista_linea_negra","118","centrado","1104","-396","9328","200","-200","121","0","201","301","283","34","670","897","998","103","192.168.137.29","-59","61192",""
"2026-06-03T19:32:44.871Z","prueba_001","pista_linea_negra","119","desviado_izq","1069","-431","5125","200","-200","116","0","231","301","288","32","849","921","1008","106","192.168.137.29","-57","61693",""
"2026-06-03T19:32:45.373Z","prueba_001","pista_linea_negra","120","desviado_izq","389","-1111","-20488","-200","200","90","0","320","204","50","6","912","622","241","18","192.168.137.29","-66","62194",""
"2026-06-03T19:32:45.874Z","prueba_001","pista_linea_negra","121","centrado","1500","0","0","180","180","180","0","1000","1000","1000","1000","3630","3490","3695","3970","192.168.137.29","-69","62694",""
"2026-06-03T19:32:46.373Z","prueba_001","pista_linea_negra","122","centrado","1838","338","-1412","-200","200","130","0","50","992","1000","578","169","2821","3463","1695","192.168.137.29","-65","63196",""
"2026-06-03T19:32:46.875Z","prueba_001","pista_linea_negra","123","desviado_izq","596","-904","71447","200","-200","90","0","865","395","254","16","2247","970","818","67","192.168.137.29","-62","63697",""
"2026-06-03T19:32:47.380Z","prueba_001","pista_linea_negra","124","centrado","1473","-27","-2162","-200","200","176","0","905","849","762","875","2752","2425","2524","2750","192.168.137.29","-56","64198",""
"2026-06-03T19:32:47.878Z","prueba_001","pista_linea_negra","125","centrado","1474","-26","57597","200","-200","177","0","289","433","427","267","1322","1377","1463","863","192.168.137.29","-54","64699",""
"2026-06-03T19:32:48.378Z","prueba_001","pista_linea_negra","126","centrado","1398","-102","-9128","-200","200","165","0","183","343","379","103","615","1037","1303","348","192.168.137.29","-59","65201",""
"2026-06-03T19:32:48.879Z","prueba_001","pista_linea_negra","127","centrado","1329","-171","12226","200","-200","155","0","157","314","338","51","624","945","1168","158","192.168.137.29","-58","65702",""
"2026-06-03T19:33:08.929Z","prueba_001","pista_linea_negra","167","centrado","1767","267","-157","-67","200","90","0","3","946","1000","400","48","2704","3319","1298","192.168.137.29","-53","85738",""
"2026-06-03T19:33:09.558Z","prueba_001","pista_linea_negra","168","centrado","1335","-165","-867","-200","200","90","0","1000","968","1000","598","475","2496","3279","1851","192.168.137.29","-53","86239",""
"2026-06-03T19:33:09.932Z","prueba_001","pista_linea_negra","169","desviado_der","2385","885","288","200","-198","90","0","19","74","955","765","122","285","3148","2453","192.168.137.29","-50","86741",""
"2026-06-03T19:33:10.446Z","prueba_001","pista_linea_negra","170","centrado","1540","40","-219","-129","200","90","0","0","850","1000","21","51","2416","3354","74","192.168.137.29","-52","87242",""
"2026-06-03T19:33:10.941Z","prueba_001","pista_linea_negra","171","centrado","1805","305","684","200","-200","90","0","102","746","1000","495","588","2234","3315","1500","192.168.137.29","-55","87743",""
"2026-06-03T19:33:11.436Z","prueba_001","pista_linea_negra","172","desviado_der","2459","959","307","200","-200","90","0","3","32","937","795","57","164","3079","2482","192.168.137.29","-56","88244",""
"2026-06-03T19:33:30.554Z","prueba_001","pista_linea_negra","210","desviado_izq","1060","-440","-856","-200","200","90","0","725","819","870","10","642","2870","3497","55","192.168.137.29","-42","107309",""
"2026-06-03T19:33:31.008Z","prueba_001","pista_linea_negra","211","centrado","1456","-44","-367","-200","200","90","0","91","678","813","33","372","2610","3309","132","192.168.137.29","-46","107811",""
"2026-06-03T19:33:31.499Z","prueba_001","pista_linea_negra","212","centrado","1440","-60","-207","-117","200","90","0","103","694","812","5","393","2672","3282","1","192.168.137.29","-51","108312",""
"2026-06-03T19:33:32.054Z","prueba_001","pista_linea_negra","213","centrado","1758","258","-675","-200","200","90","0","0","577","809","195","48","2178","3283","1008","192.168.137.29","-52","108813",""
"2026-06-03T19:33:32.613Z","prueba_001","pista_linea_negra","214","centrado","1442","-58","-44","46","134","90","0","108","692","829","2","542","2602","3362","3","192.168.137.29","-59","109314",""
"2026-06-03T19:33:33.044Z","prueba_001","pista_linea_negra","215","centrado","1149","-351","-58","32","148","90","0","512","802","834","9","2025","3057","3383","0","192.168.137.29","-52","109816",""
"2026-06-03T19:33:33.544Z","prueba_001","pista_linea_negra","216","desviado_der","1943","443","-908","-200","200","90","0","323","36","764","554","815","189","3088","2288","192.168.137.29","-61","110317",""
"2026-06-03T19:33:34.109Z","prueba_001","pista_linea_negra","217","centrado","1502","2","114","200","-24","90","0","115","623","767","70","583","2405","3071","291","192.168.137.29","-59","110818",""
"2026-06-03T19:33:34.507Z","prueba_001","pista_linea_negra","218","centrado","1536","36","2","92","88","90","0","2","726","841","5","45","2790","3409","31","192.168.137.29","-63","111318",""
"2026-06-03T19:33:35.006Z","prueba_001","pista_linea_negra","219","desviado_der","2215","715","0","90","90","90","0","101","26","744","489","399","176","3021","2012","192.168.137.29","-66","111818",""
"2026-06-03T19:33:35.508Z","prueba_001","pista_linea_negra","220","centrado","1886","386","88","178","2","90","0","4","472","825","292","64","1837","3345","1168","192.168.137.29","-60","112319",""
"2026-06-03T19:33:36.015Z","prueba_001","pista_linea_negra","221","centrado","1467","-33","-148","-58","200","90","0","69","711","814","1","331","2733","3313","11","192.168.137.29","-60","112819",""
"2026-06-03T19:33:36.509Z","prueba_001","pista_linea_negra","222","desviado_izq","1046","-454","-76","14","166","90","0","612","799","710","0","2455","3043","2898","11","192.168.137.29","-59","113321",""
"2026-06-03T19:33:37.014Z","prueba_001","pista_linea_negra","223","desviado_izq","920","-580","532","200","-200","90","0","584","744","443","1","2348","2854","1686","7","192.168.137.29","-78","113821",""
"2026-06-03T19:33:37.511Z","prueba_001","pista_linea_negra","224","desviado_der","2096","596","-593","-200","200","90","0","0","274","781","416","29","987","3149","1746","192.168.137.29","-61","114322",""
"2026-06-03T19:33:38.011Z","prueba_001","pista_linea_negra","225","centrado","1537","37","9","99","81","90","0","0","674","784","2","48","2603","3186","16","192.168.137.29","-62","114822",""
"2026-06-03T19:33:38.512Z","prueba_001","pista_linea_negra","226","recuperacion","0","-1500","0","-120","120","0","1","0","12","6","1","32","123","112","5","192.168.137.29","-52","115322",""
"2026-06-03T19:33:39.012Z","prueba_001","pista_linea_negra","227","recuperacion","0","-1500","0","-120","120","0","1","70","9","0","0","324","112","80","0","192.168.137.29","-58","115823",""
"2026-06-03T19:33:39.514Z","prueba_001","pista_linea_negra","228","recuperacion","3000","1500","0","120","-120","0","1","0","11","5","1","27","126","102","2","192.168.137.29","-52","116324",""
"2026-06-03T19:33:40.015Z","prueba_001","pista_linea_negra","229","centrado","1466","-34","87","177","3","90","0","66","699","793","0","379","2678","3216","8","192.168.137.29","-49","116826",""
"2026-06-03T19:33:40.517Z","prueba_001","pista_linea_negra","230","desviado_izq","968","-532","-1125","-200","200","90","0","888","492","819","16","3645","1945","3312","50","192.168.137.29","-55","117327",""
"2026-06-03T19:33:41.017Z","prueba_001","pista_linea_negra","231","centrado","1576","76","-77","13","167","90","0","2","585","797","7","43","2236","3234","43","192.168.137.29","-49","117828",""
"2026-06-03T19:33:45.050Z","prueba_001","pista_linea_negra","239","desviado_izq","535","-965","-176","-86","200","90","0","603","695","14","6","2289","2657","139","12","192.168.137.29","-58","121833",""
"2026-06-03T19:33:45.535Z","prueba_001","pista_linea_negra","240","desviado_izq","1023","-477","8","98","82","90","0","674","840","727","3","2731","3187","2956","80","192.168.137.29","-49","122334",""
"2026-06-03T19:33:46.002Z","prueba_001","pista_linea_negra","241","centrado","1540","40","1202","200","-200","90","0","6","706","829","5","71","2707","3354","17","192.168.137.29","-52","122836",""
"2026-06-03T19:33:46.504Z","prueba_001","pista_linea_negra","242","centrado","1440","-60","-208","-118","200","90","0","105","745","856","6","466","2855","3481","31","192.168.137.29","-53","123337",""
"2026-06-03T19:33:47.004Z","prueba_001","pista_linea_negra","243","centrado","1536","36","3","93","87","90","0","1","702","813","4","38","2716","3300","10","192.168.137.29","-62","123838",""
